country,size,attack_type,attribution,start_of_attack (soa),dwell_time [days],attack_detected (attdet),t2ad_utc_short,soa:t2ad_delta [sec],t2ad:attdet_delta [sec],root_cause,missing_logs,artifacts,lolbins,other,pre-attack_ioc,rdp,initial_access,impact,data_exfil,exfil_volume [GB],date_of_exfil_short,soa-exfil-delta [sec],exfil-attdet-delta [sec],exfil-posted_delta
United States of America,251-500,ransomware,Black Basta,2024-10,15,2024-10,,,,comped creds,,SophosUninstall.exe|Chrome Browser|VMware Tools|Bitdefender Endpoint Security|7zip,RDP|reg.exe|netsh.exe|net.exe|cmd.exe|Edge browser|gpscript.exe|smartscreen.exe|mstsc.exe|mmc.exe|services.msc|dsa.msc|svchost.exe|ServerManager.exe|gpmc.msc|gpupdate.exe|regsvr32.exe|PowerShell|quser.exe|WmiPrvSE.exe|rundll32.exe|vssadmin.exe|WMI,install service|modify registry|enable RDP|disable NLA|modify firewall rules|start services|remove protection|malicious scripts|create GPO|disable protection|delete Shadow Copy|delete files|MFA unavailable,,Yes - Internal only,External Remote Services,Data Encrypted for Impact|Inhibit System Recovery|Data Manipulation,Yes,,,,,
Switzerland,101-250,ransomware,Fog,2024-10,0,2024-10,2024-10,0,11317,supply chain compromise,retention|encrypted,Angry IP Scanner,RDP,MFA unavailable|logs missing|ESXi|encrypt hypervisor|reset passwords|SMB|browse network,,Yes - Internal only,Trusted Relationship|Valid Accounts,Data Encrypted for Impact|Account Access Removal,No evidence,,,,,
United States of America,501-1000,network breach,,2024-10,0,2024-10,2024-10,304,1472,brute force attack,,TeamViewer|IrfanView|Impacket/wmiexec|Atera RMM|Adobe Acrobat|Python,RDP|mstsc.exe|excel.exe|cmd.exe|msiexec.exe|dotnet.exe|del.exe|WmiPrvSE.exe|net.exe|taskkill.exe|rundll32.exe|WMI,vulnerable VPN|MFA unavailable|delete files|stop services,,Yes - Internal only,External Remote Services|Valid Accounts,Data Manipulation|Service Stop,No evidence,,,,,
United States of America (default),1-100,ransomware,Akira,2024-10,14,2024-11,2024-10,354510,866008,phishing,unavailable,Megasync|WinRAR|OpenSSH|AnyDesk|Impacket/secretsdump|SophosUninstall.exe|SoftPerfect Network Scanner|Chrome Browser|RustDesk|Firefox Browser|UltraVNC|Python,RDP|taskkill.exe|svchost.exe|ping.exe|PsExec|net.exe|rundll32.exe|comsvcs.dll|tasklist.exe|cmd.exe|PowerShell|WmiPrvSE.exe|WMI,logs missing|browse network|create archive|uninstall application|disable protection|modify registry|modify domain policies|install service|SSH|lsass dump|SAM dump|remove protection|reset passwords|create accounts|delete Shadow Copy|modify local groups|modify domain groups|unprotected systems|delete files,,Yes - Internal only,Phishing,Data Encrypted for Impact|Inhibit System Recovery|Data Manipulation|Account Access Removal,Yes,,,,,
United States of America,251-500,ransomware,Play,2024-10,17,2024-11,2024-10,1311809,116305,brute force attack,cleared,mimikatz,RDWeb|RDP|PsExec|DCSync|reg.exe|cmd.exe|mpcmdrun.exe|WMI|PowerShell,MFA unavailable|unprotected systems|install service|create scheduled task|NTDS dump|modify registry|enable RDP|disable protection|delete Shadow Copy|logs missing|logs cleared|modify firewall rules|ESXi|delete files|exposed RDP,,Yes - Both,External Remote Services|Valid Accounts,Data Encrypted for Impact|Data Manipulation|Inhibit System Recovery,Yes,,,,,
Philippines,1001-3000,data exfiltration,CN APT,2024-10,25,2024-11,,,,unknown,unavailable|denied for privacy,Chrome Browser|Viber|AnyDesk|LiteManager,rundll32.exe|MSBuild|csc.exe|expand.exe|Task Scheduler|winword.exe|net.exe|ping.exe|tasklist.exe|RDP|netstat.exe|hostname.exe|query.exe|expand.exe|netsh.exe|net.exe|ping.exe|winword.exe|cvtres.exe|WMI|excel.exe|Edge browser|ipconfig.exe,dump browser creds|logs missing|store passwords in plaintext|MFA unavailable|web shell|create scheduled task|keylogger (generic)|modify firewall rules|browse network|delete files|enable user|DPAPI key extraction|delete task,,Yes - Internal only,unknown,Data Manipulation,Yes,,2024-10,358069,1853117,
Canada EST (UTC-5),1-100,network breach,,2024-11,4,2024-11,2024-11,0,366483,exploit vulnerability,,Impacket/secretsdump|Python,svchost.exe,SonicWall vuln|CVE-2024-40766|MFA unavailable|SAM dump,,No,Exploit Public-Facing Application|External Remote Services,No Impact,No evidence,,,,,
United States of America,101-250,ransomware,Akira,2024-11,3,2024-11,2024-11,251669,8215,exploit vulnerability,unavailable,SoftPerfect Network Scanner|Chrome Browser|WinRAR|Advanced IP Scanner,RDP|icacls.exe|cmd.exe|takeown.exe|Media Creation Tool|svchost.exe|net.exe|vssadmin.exe|copy.exe|ntdsutil.exe|DCSync|taskmgr.exe|mmc.exe|gpedit.msc|adsiedit.msc|dsac.exe|mstsc.exe|whoami.exe,SonicWall vuln|CVE-2024-40766|logs missing|vulnerable VPN|MFA unavailable|modify file and dir permissions|uninstall application|create archive|delete files|easyupload.io|SAM dump|enable user|create shadow copy|NTDS dump|reset passwords,,Yes - Internal only,Exploit Public-Facing Application|External Remote Services,Data Encrypted for Impact|Data Manipulation|Account Access Removal,Possible,,2024-11,254821,5064,
India,1-100,ransomware,U-Bomb,2024-11,4,2024-11,,,,brute force attack,,id|hostname|Chrome Browser|mkdir|which|head|ls|rm|nohup|bash|scp|ssh|ping|Firefox Browser|7zip|netstat|uname|cat|kill|ifconfig|ps|df|OpenSSH,RDP|cmd.exe|notepad.exe,unprotected systems|eol systems|vulnerable systems|vulnerable VPN|exposed internal services|real-time scanning disabled|SSH|create folder|delete files|linux ransomware|MFA unavailable,,Yes - Internal only,External Remote Services|Valid Accounts,Data Encrypted for Impact|Data Manipulation,No evidence,,,,,
United States of America EST (UTC-5),1-100,ransomware,Play,2024-11,2,2024-11,2024-11,35298,96566,comped creds,cleared,WinRAR|WinSCP|SoftPerfect Network Scanner,RDWeb|RDP|PowerShell|taskmgr.exe|w3wp.exe|iisreset.exe|WMI|PsExec,exposed RDP|MFA unavailable|store passwords in plaintext|browse network|music folder|lsass dump|disable protection|unprotected systems|modify firewall rules|enable RDP|logs missing|logs cleared|install service|stop services|delete Shadow Copy|modify registry|create archive|delete files,Ngrok,Yes - Both,External Remote Services|Valid Accounts,Data Encrypted for Impact|Service Stop|Data Manipulation|Inhibit System Recovery,Staging,,,,,
United States of America EST (UTC-5),501-1000,data extortion,Unknown,2024-11,3,2024-11,2024-11,453,265104,exploit vulnerability,,Chrome Browser|VMware Tools|SoftPerfect Network Scanner|FileZilla|Atera RMM,RDP|mmc.exe|dnsmgmt.msc|cmd.exe|ntdsutil.exe|regsvr32.exe|net.exe|mstsc.exe|taskmgr.exe|curl.exe|msiexec.exe|reg.exe|attrib.exe|logoff.exe,vulnerable VPN|MFA unavailable|brute force attack|NTDS dump|malicious scripts|modify registry|delete files,,Yes - Internal only,External Remote Services|Exploit Public-Facing Application,Data Manipulation,Yes,6.53,2024-11,270619,-5060,
Australia ACST (UTC+9.5),251-500,ransomware,Mario,2024-10,12,2024-11,2024-10,39274,1027857,comped creds,unavailable,OpenSSH|WinSCP|chmod|sleep|more,svchost.exe|cmd.exe|del.exe|qwinsta.exe|echo.exe|whoami.exe|net.exe|nslookup.exe|hostname.exe|notepad.exe|Task Scheduler|winrs.exe|PsExec|vssadmin.exe|PowerShell|ntdsutil.exe|icacls.exe|xcopy.exe|sc.exe|wevtutil.exe|ping.exe|nltest.exe|dnscmd.exe|RDP,SAM dump|malicious scripts|install service|ESXi|VMware vuln|CVE-2024-37085|SSH|logs missing|linux ransomware|create scheduled task|create accounts|create shadow copy|NTDS dump|reset passwords|modify file and dir permissions|delete files|stop services|delete users|delete task|create security group|enable SSH|SFTP,freeFTPd|WinSCP,Yes - Internal only,External Remote Services,Data Encrypted for Impact|Data Manipulation|Service Stop|Account Access Removal,No evidence,,,,,
Aruba,1-100,network breach,,2024-11,0,2024-11,2024-11,7267,238,brute force attack,,SoftPerfect Network Scanner|mimikatz|LaZagne|automim|ExtPassword|WebBrowserPassView|Firefox Browser|WizTree,RDP|arp.exe|mstsc.exe|dsquery.exe|cmd.exe|dsget.exe|notepad.exe|wscript.exe|reg.exe,MFA unavailable|tamper protection not configured|dump browser creds|malicious scripts|SAM dump|security hive collected|system hive collected|browse network,,Yes - Both,External Remote Services|Valid Accounts,No Impact,No evidence,,,,,
Vietnam,1-100,web shell,,2024-11,7,2024-11,,,,exploit vulnerability,,,w3wp.exe|cmd.exe|whoami.exe,web shell|vulnerable systems|exposed internal services|MFA unavailable|safe mode protection disabled,Ngrok,No,Exploit Public-Facing Application,No Impact,No evidence,,,,,
United States of America EST (UTC-5),1-100,ransomware,Lynx,2024-11,6,2024-11,2024-11,47159,456729,comped creds,unavailable,AnyDesk|SoftPerfect Network Scanner,RDP|whoami.exe|systeminfo.exe|nltest.exe|ping.exe|cmd.exe|mstsc.exe|logoff.exe,MFA unavailable|vulnerable VPN|safe mode protection disabled|unprotected systems|install service|logs missing,,Yes - Internal only,External Remote Services|Valid Accounts,Data Encrypted for Impact,Possible,,2024-11,315315,188573,
United Kingdom,3001-5000,data exfiltration,Unknown,2024-10,26,2024-11,2024-11,2253544,229,phishing,,Impacket/wmiexec|Python|WinRAR|Veeam mgmt software|Chrome Browser|PDQ Deploy|7zip|FileZilla|Splashtop|TeamViewer|SQLite,cmd.exe|reg.exe|RDP|runonce.exe|curl.exe|quser.exe|ping.exe|systeminfo.exe|Task Scheduler|where.exe|taskmgr.exe|nltest.exe|shutdown.exe|ServerManager.exe|mstsc.exe|mmc.exe|dsa.msc|notepad.exe|winword.exe|net.exe|WMI|rundll32.exe|gpscript.exe|netstat.exe|wsmprovhost.exe|SQL Server Management Studio|tasklist.exe|iexplore.exe|compmgmt.msc|sqlcmd.exe|StorageExplorer.exe|fsutil.exe|getmac.exe|azcopy.exe,unprotected systems|ESXi|safe mode protection disabled|modify registry|enable RDP|create scheduled task|enable user|disable user account|uninstall application|browse network|delete task|reset passwords|create archive|SMB|delete history|create accounts|modify local groups|SSH|delete files|modify immutability settings|malicious scripts,,Yes - Internal only,External Remote Services|Valid Accounts,Data Encrypted for Impact|System Shutdown/Reboot|Data Manipulation|Account Access Removal,Yes,140.13,2024-11,2355223,-101448,
United States of America CST (UTC-6),251-500,network breach,,2024-11,0,2024-11,,,,comped creds,,,svchost.exe|copy.exe,exposed RDP|MFA unavailable|dump browser creds|SAM dump|SMB,,No,External Remote Services,No Impact,No evidence,,,,,
United Kingdom,251-500,ransomware,Black Basta,2024-11,2,2024-11,2024-11,110112,102961,comped creds,,Cobalt Strike|Rclone|Level RMM,PowerShell|ping.exe|RDP,disable protection|SMB|pass the hash|modify firewall rules|modify registry,,Yes - Internal only,External Remote Services|Valid Accounts,Data Encrypted for Impact,Yes,788.6,2024-11,,,21
United States of America EST (UTC-5),101-250,network breach,,2024-11,1,2024-11,2024-11,0,75217,exploit vulnerability,,Impacket/wmiexec|Python,RDP|svchost.exe|cmd.exe|PowerShell|whoami.exe|nltest.exe|net.exe|quser.exe|wsmprovhost.exe|WMI,Fortinet vuln|CVE-2024-47575|vulnerable VPN|SAM dump,,Yes - Internal only,External Remote Services|Exploit Public-Facing Application,No Impact,No evidence,,,,,
Colombia,251-500,network breach,,2024-11,3,2024-11,,,,unknown,unavailable,KrbRelayUp,sc.exe|cmd.exe|net.exe|PowerShell|whoami.exe|tscon.exe|RDP|notepad.exe|Task Scheduler|gpscript.exe|ping.exe|netsh.exe,disable restricted admin|install service|delete service|create scheduled task|malicious scripts|modify firewall rules|logs missing,,Yes - Internal only,External Remote Services,Service Stop,No evidence,,,,,
Italy,101-250,ransomware,RansomHub,2024-11,2,2024-11,2024-11,204489,7721,comped creds,retention,,RDP,MFA unavailable|logs missing,,Yes - Internal only,External Remote Services,Data Encrypted for Impact,No evidence,,,,,
United States of America EST (UTC-5),101-250,data exfiltration,Unknown,2024-11,4,2024-11,2024-11,0,393978,comped creds,retention|disabled,SoftPerfect Network Scanner|OpenSSH|Rclone,RDP|notepad.exe|cmd.exe|systeminfo.exe|net.exe|ping.exe|PowerShell|netdom.exe|netstat.exe|taskmgr.exe|werfault.exe|mstsc.exe|sc.exe|ipconfig.exe|reg.exe|wevtutil.exe,MFA unavailable|logs missing|SFTP|Backblaze.com|add exclusions|install service|browse network|stop services|uninstall application|create accounts|modify local groups|modify registry|modify domain groups|logging disabled|install feature|SMB,,Yes - Internal only,External Remote Services|Valid Accounts,Service Stop,Yes,309.52,2024-11,183402,210576,
India,101-250,ransomware,RansomHub,2024-11,3,2024-11,2024-11,0,292317,comped creds,retention,MEGA CMD|7zip|Everything|PuTTy|ESET security|Kaspersky,DCSync|RDP|cmd.exe|nslookup.exe|net.exe|ping.exe|qwinsta.exe|quser.exe|perfmon.exe|tasklist.exe|PowerShell|mstsc.exe|whoami.exe|bcdedit.exe|notepad.exe|taskmgr.exe,vulnerable VPN|logs missing|safe mode protection disabled|unprotected systems|eol systems|create archive|disable safe mode|remove protection|uninstall application|EDR killer|stop services|MFA unavailable|music folder,,Yes - Internal only,External Remote Services|Valid Accounts,Data Encrypted for Impact|Service Stop|Inhibit System Recovery,Yes,12.5,2024-11,294369,-2051,5
United States of America EST (UTC-5),251-500,network breach,,2024-11,1,2024-11,,,,comped creds,limited,RawCopy,PsExec|RDP|whoami.exe|nltest.exe|net.exe|PowerShell|vssadmin.exe|xcopy.exe|find.exe|icacls.exe|takeown.exe|svchost.exe,MFA unavailable|safe mode protection disabled|install service|create shadow copy|modify file and dir permissions|SAM dump|logs missing,,Yes - Internal only,External Remote Services|Valid Accounts,No Impact,No evidence,,,,,
United Kingdom,251-500,ransomware,Akira,2024-11,3,2024-11,2024-11,0,255329,unknown,retention,ShareFinder|PsReflect|open|chmod|esxcli|WinRAR|AnyDesk|OpenSSH,whoami.exe|ping.exe|PowerShell|RDP|cmd.exe|net.exe|quser.exe,logs missing|MFA unavailable|modify domain groups|linux ransomware|ESXi|SFTP|SSH|disable firewall|allow unsigned VIBs|modify local groups|reset passwords|stop process|create archive|install service|create accounts|kali (hostname),RDP,Yes - Internal only,External Remote Services|Valid Accounts,Data Encrypted for Impact|Account Access Removal|Service Stop,Staging,,,,,
India,501-1000,ransomware,Makop,2024-11,13,2024-11,,,,brute force attack,,AnyDesk|Chrome Browser|Advanced Port Scanner|mimikatz|WinRAR|SoftPerfect Network Scanner|Everything|Mouse Lock,RDP|mstsc.exe|notepad.exe|cmd.exe|vssadmin.exe|WMI|mmc.exe|wbadmin.msc|net.exe|excel.exe|mspaint.exe,unprotected systems|exposed RDP|delete Shadow Copy|reset passwords|browse network|music folder|delete files,AnyDesk|install service|PuTTy|WinSCP,Yes - External only,External Remote Services|Valid Accounts,Data Encrypted for Impact|Data Manipulation|Inhibit System Recovery|Account Access Removal,No evidence,,,,,
United Kingdom ,501-1000,network breach,,2024-11,5,2024-11,2024-11,366302,6289,phishing,,Impacket/wmiexec|Python,MS Teams|Edge browser|QuickAssist.exe|tar.exe|reg.exe|PsExec|PsKill|winrs.exe|named pipe|RDP|curl.exe|tasklist.exe|findstr.exe|type.exe|ipconfig.exe|sc.exe|WMI|PowerShell|netsh.exe,unprotected systems|safe mode protection disabled|modify registry|create accounts|modify local groups|malicious scripts|delete files,,Yes - Internal only,Phishing,Data Manipulation,No evidence,,,,,
United States of America PST (UTC-8),501-1000,network breach,,2024-11,4,2024-11,2024-11,347351,22201,phishing,,Chrome Browser|SoftPerfect Network Scanner|BloodHound,MS Teams|RDP|Edge browser|QuickAssist.exe|reg.exe|cmd.exe|tar.exe|outlook.exe|taskmgr.exe|mspaint.exe|notepad.exe|visio.exe|winword.exe|msoxmled.exe|mstsc.exe|net.exe|runas|ping.exe|rundll32.exe|ipconfig.exe|sc.exe|rmdir.exe|whoami.exe|excel.exe|WMI|logoff.exe,vulnerable VPN|safe mode protection disabled|modify registry|browse network|store passwords in plaintext|malicious scripts|stop services|delete registry keys|delete files,,Yes - Internal only,Phishing,Service Stop|Data Manipulation,No evidence,,,,,
United Kingdom,1-100,network breach,,2024-11,7,2024-11,,,,comped creds,,OpenSSH|rsockstun|Impacket/smbexec|Rufus|TeamViewer|Python,RDWeb|RDP|sethc.exe|PowerShell|systeminfo.exe|findstr.exe|net.exe|whoami.exe|nltest.exe|quser.exe|arp.exe|mstsc.exe|notepad.exe|ping.exe|certutil.exe|svchost.exe|reg.exe|taskkill.exe|wininit.exe|cmd.exe|echo.exe|runas|copy.exe|wget.exe,exposed RDP|MFA unavailable|stickey keys|reverse shell|SSH|SAM dump|modify registry|stop process|AMSI bypass|browse network,,Yes - Both,External Remote Services|Valid Accounts,Service Stop,Yes,,2024-11,,,
United States of America EST (UTC-5),1-100,network breach,,2024-11,0,2024-11,,,,comped creds,unavailable,Impacket|Python,svchost.exe,MFA unavailable|tamper protection not configured|vulnerable VPN|safe mode protection disabled|SAM dump|logs missing,,No,External Remote Services|Valid Accounts,No Impact,No evidence,,,,,
France,101-250,ransomware,Akira,2024-10,33,2024-11,2024-11,2203814,649636,comped creds,,SophosUninstall.exe|WinRAR|Advanced IP Scanner|Veeam mgmt software|7zip|AnyDesk,svchost.exe|mstsc.exe|RDP|cmd.exe|copy.exe|mmc.exe|virtmgmt.msc|PowerShell|ping.exe|notepad.exe|reg.exe|outlook.exe|Edge browser|taskmgr.exe|SystemSettings.exe|net.exe,unprotected systems|DPAPI key extraction|safe mode protection disabled|password spray|kerberoast|SMB|reset passwords|remove protection|create archive|modify registry|disable restricted admin|Mega (all TLDs)|browse network|disable protection|logging disabled|delete files|create accounts|modify local groups|MFA unavailable,,Yes - Internal only,External Remote Services|Valid Accounts,Data Encrypted for Impact|Data Manipulation|Account Access Removal,Yes,20.12,2024-11,2859209,-5758,
United Kingdom,251-500,network breach,,2024-11,1,2024-11,2024-11,25282,77874,comped creds,unavailable,Impacket/secretsdump|Python,RDP|cmd.exe|reg.exe|whoami.exe|ping.exe|notepad.exe,MFA unavailable|vulnerable VPN|malicious scripts|modify registry|disable restricted admin|logs missing,,Yes - Internal only,External Remote Services|Valid Accounts,No Impact,No evidence,,,,,
Turkey,501-1000,data exfiltration,Unknown,2024-11,0,2024-11,2024-11,16994,2012,comped creds,unavailable,Chrome Browser,RDP|cmd.exe|ntdsutil.exe|makecab.exe|cacls.exe|dllhost.exe,safe mode protection disabled|NTDS dump|create archive|uninstall application|delete files|logs missing,,Yes - Internal only,External Remote Services|Valid Accounts,Data Manipulation,,,,,,
Phillippines,3001-5000,network breach,,2024-11,7,2024-11,,,,unknown,,Impacket/wmiexec|Python|Passcape Windows Password Recovery|SoftPerfect Network Scanner,cmd.exe|whoami.exe|net.exe|WmiPrvSE.exe|reg.exe|RDP|WMI,unprotected systems|vulnerable VPN|MFA unavailable|modify registry|disable restricted admin|install service|SMB,,Yes - Internal only,unknown,No Impact,No evidence,,,,,
United States of America EST (UTC-5),1001-3000,network breach,,2024-11,3,2024-11,2024-11,0,234957,brute force attack,,Impacket/smbexec|Python|Getscreen.me|ChromeKatz,svchost.exe|PowerShell|cmd.exe|hostname.exe|tasklist.exe|curl.exe|nltest.exe|nslookup.exe|ping.exe|setspn.exe|findstr.exe|echo.exe|del.exe|wevtutil.exe|Edge browser|mmc.exe|taskschd.msc|whoami.exe|logoff.exe|mstsc.exe|RDP|net.exe,unprotected systems|SAM dump|create scheduled task|install service|malicious scripts|delete files|enable user|dump browser creds,,Yes - Internal only,External Remote Services|Valid Accounts,Data Manipulation,No evidence,,,,,
United States of America EST (UTC-5),501-1000,network breach,Makop,2024-10,25,2024-11,,,,brute force attack,,Everything|Mouse Lock|Process Hacker|SoftPerfect Network Scanner,RDP,exposed RDP|MFA unavailable|music folder|malicious scripts|delete files,,Yes - External only,External Remote Services,Data Encrypted for Impact|Data Manipulation,No evidence,,,,,
Korea,1001-3000,network breach,,2024-11,0,2024-11,,,,exploit vulnerability,,Impacket/secretsdump|Impacket/smbexec|Impacket/wmiexec|Python,RDP|svchost.exe|cmd.exe|echo.exe|del.exe|net.exe|mpcmdrun.exe|reg.exe|WMI,unprotected systems|vulnerable systems|safe mode protection disabled|SAM dump|delete files|malicious scripts|disable protection|modify registry|system hive collected|security hive collected,,Yes - Internal only,Exploit Public-Facing Application,Data Manipulation,No evidence,,,,,
United States of America (default),251-500,network breach,,2024-11,0,2024-11,2024-11,0,58124,comped creds,,Impacket/wmiexec|Atera RMM|Splashtop|Python,cmd.exe|conhost.exe|msiexec.exe|rundll32.exe|net.exe|svchost.exe|nltest.exe|WMI,MFA unavailable|vulnerable VPN|install service|delete files|SAM dump,,No,External Remote Services,Data Manipulation,No evidence,,,,,
Philippines,3001-5000,ransomware,Fog,2024-11,4,2024-11,,,,comped creds,retention,DWService|Advanced Port Scanner|AnyDesk|Rclone|WinRAR|MegaRAID Storage Manager|Java (java.exe)|Chrome Browser,RDP|ping.exe|notepad.exe|mstsc.exe|svchost.exe|ServerManager.exe|PowerShell|quser.exe|nltest.exe|Edge browser|logoff.exe|taskhost.exe|rundll32.exe|cmd.exe|dnsmgmt.msc|domain.msc|gpedit.msc|mmc.exe|ssm.msc|PsKill,unprotected systems|logs missing|SMB|browse network|install service|create archive|create accounts|reset passwords|add exclusions|kali (hostname),vpn login,Yes - Internal only,External Remote Services,Data Encrypted for Impact|Account Access Removal,Yes,11.82,2024-11,347932,3459,
United States of America EST (UTC-5),101-250,ransomware,Abyss,2024-11,8,2024-11,,,,unknown,retention|disabled,Chrome Browser|SoftPerfect Network Scanner|Rclone|Impacket/wmiexec|Python|Comodo Cleaning Essentials|SophosUninstall.exe|NSudo Launcher,RDP|PowerShell|svchost.exe|icacls.exe|iisreset.exe|del.exe|logoff.exe|whoami.exe|net.exe|query.exe|qwinsta.exe|pushd.exe|wsmprovhost.exe|winrm.exe|time.exe|ping.exe|mstsc.exe|iexplore.exe|smss.exe|regedit.exe|notepad.exe|sc.exe|taskmgr.exe|WMI|ipconfig.exe,vulnerable VPN|MFA unavailable|eol systems|logs missing|modify file and dir permissions|delete files|install service|remove protection|EDR killer|Backblaze.com|unprotected systems,,Yes - Internal only,External Remote Services|Valid Accounts,Data Encrypted for Impact|Data Manipulation,Yes,1100,2024-11,718184,154,11
Canada PST (UTC-8),1001-3000,ransomware,Fog,2024-11,1,2024-11,2024-11,74942,12261,comped creds,,SoftPerfect Network Scanner|Advanced Port Scanner|WinRAR|WizTree|AnyDesk|chmod|ls,RDP|PowerShell|systeminfo.exe|hostname.exe|net.exe|vssadmin.exe|ipconfig.exe|net.exe|arp.exe|route.exe|netstat.exe|netsh.exe|Task Scheduler|tasklist.exe,ESXi|encrypt hypervisor|kerberoast|disable protection|easyupload.io|linux ransomware|install service|global exclusions|MFA unavailable|SSH|modify file and dir permissions|delete Shadow Copy|delete files|create accounts|kali (hostname),,Yes - Internal only,External Remote Services|Valid Accounts,Data Encrypted for Impact|Data Manipulation|Inhibit System Recovery,Yes,31,2024-11,77228,9975,
United States of America EST (UTC-5),101-250,network breach,,2024-11,16,2024-11,2024-11,309724,1049488,brute force attack,,Impacket/atexec|Python,winrm.exe|quser.exe|nltest.exe|ping.exe|Task Scheduler|rundll32.exe|mstsc.exe|RDP,unprotected systems|MFA unavailable|create scheduled task,,Yes - Internal only,External Remote Services|Valid Accounts,No Impact,No evidence,,,,,
Germany,101-250,ransomware,Mimic,2024-11,1,2024-11,,,,unknown,unavailable|encrypted,AnyDesk|Everything|7zip|G Data AVCleaner,RDP|sdelete.exe|PowerShell,logs missing|MFA unavailable|disable protection|create accounts|uninstall application,,Yes - Internal only,unknown,Data Encrypted for Impact,No evidence,,,,,
United States of America PST (UTC-8),1-100,ransomware,Akira,2024-11,3,2024-11,,,,comped creds,unavailable,LogMeIn,RDP|mspaint.exe|nltest.exe|ping.exe|net.exe|vssadmin.exe|reg.exe|PowerShell|notepad.exe|cmd.exe|whoami.exe,logs missing|MFA unavailable|create shadow copy|system hive collected|enable user|tamper protection removed|delete devices from central|remove protection|reset passwords|disable user account|vulnerable systems,,Yes - Internal only,External Remote Services|Valid Accounts,Data Encrypted for Impact|Account Access Removal,No evidence,,,,,
United States of America,501-1000,ransomware,Dragonforce,2024-11,6,2024-11,2024-11,309653,164846,brute force attack,,Advanced IP Scanner|Impacket/smbexec|Python,RDP|taskmgr.exe|cmd.exe|nltest.exe|net.exe|vssadmin.exe|PowerShell|mstsc.exe|echo.exe|ping.exe|ipconfig.exe|ver.exe|PsExec|svchost.exe,safe mode protection disabled|create shadow copy|malicious scripts|delete files|delete network shares|exposed RDP|tamper protection not configured|MFA unavailable,,Yes - Internal only,External Remote Services|Valid Accounts,Data Manipulation,Yes,,,,,
United States of America EST (UTC-5),1-100,network breach,,2024-11,2,2024-12,2024-12,170045,124,brute force attack,,Impacket/secretsdump|Impacket/smbexec|Python,svchost.exe|cmd.exe|tasklist.exe|rundll32.exe|comsvcs.dll,MFA unavailable|SAM dump|lsass dump,,No,External Remote Services|Valid Accounts,No Impact,No evidence,,,,,
Brazil,1-100,network breach,,2024-11,6,2024-12,,,,unprotected host,,Chrome Browser|Impacket/wmiexec|Python,cmd.exe|copy.exe|Edge browser|tasklist.exe|quser.exe|WMI,unprotected systems|dump browser creds|safe mode protection disabled|eol systems,,No,unknown,No Impact,No evidence,,,,,
Germany,501-1000,ransomware,Fog,2024-11,14,2024-12,2024-11,0,1223077,comped creds,retention,SoftPerfect Network Scanner|Advanced IP Scanner|WinRAR|MobaXterm|AnyDesk|TightVNC|TeamViewer|7zip,RDP|cmd.exe|net.exe|mstsc.exe|PowerShell|reg.exe|iexplore.exe|mmc.exe|dsa.msc|dnsmgmt.msc|ipconfig.exe|Task Scheduler|ping.exe|hostname.exe|nslookup.exe,logs missing|MFA unavailable|SMB|malicious scripts|delete network shares|create archive|enable SSH|SSH|ESXi|modify registry|add application to safe mode|create scheduled task|uninstall application,,Yes - Internal only,External Remote Services|Valid Accounts,Data Encrypted for Impact,Possible,,2024-12,1133135,89942,
United States of America (default),251-500,network breach,,2024-11,16,2024-12,,,,comped creds,unavailable,Impacket/wmiexec|Python|SophosUninstall.exe|PowerTool|WKTools|PC Hunter,RDP|cmd.exe|PowerShell|pushd.exe|esentutl.exe|net.exe|mmc.exe|services.msc|notepad.exe|mspaint.exe|iexplore.exe|PsExec|WMI,unprotected systems|MFA unavailable|logs missing|pass the hash|brute force attack|browse network|install service|modify registry|disable restricted admin|remove protection|disable protection|malicious scripts|SAM dump|system hive collected|security hive collected|modify local groups|delete files|disable user account|create accounts,,Yes - Internal only,External Remote Services|Valid Accounts,Data Manipulation|Account Access Removal,No evidence,,,,,
Canada EST (UTC-5),1-100,ransomware,Qilin,2024-12,1,2024-12,2024-12,43560,14044,unknown,encrypted|cleared,ScreenConnect|Advanced IP Scanner|WinRAR|Chrome Browser|Qfinder Pro|Cisco Webex Meetings Desktop Application|Impacket/secretsdump|Python|Firefox Browser|VMware vSphere Client,RDP|notepad.exe|bcdedit.exe|PowerShell|cmd.exe|WMI|werfault.exe|taskmgr.exe|PowerShell|wevtutil.exe|fsutil.exe|net.exe|vssadmin.exe,logs missing|browse network|create archive|reboot in Safe Mode|reset passwords|malicious scripts|uninstall application|easyupload.io|logs cleared|install service|delete Shadow Copy|disable shadow copy|delete files|ESXi,,Yes - Internal only,unknown,Data Encrypted for Impact|System Shutdown/Reboot|Data Manipulation|Inhibit System Recovery|Account Access Removal,Yes,135,2024-12,45330,12275,7
Jamaica,101-250,network breach,,2024-11,0,2024-11,,,,unknown,,MeshAgent|TightVNC,nltest.exe|nslookup.exe|cmd.exe|net.exe|Task Scheduler,protection out of date|MFA unavailable|unprotected systems|global exclusions|eol systems|create accounts|enable user|modify local groups|modify domain groups|install service|create scheduled task|delete task,,No,External Remote Services,No Impact,No evidence,,,,,
